一个	یک (حرف تعریف نامعین)	yī gè
恋爱的	عاشقانه	liàn ài de
总数	مقدار	zǒng shù
总额	مقدار	zǒng é
切断	قطع اندام کردن	qiē duàn
删除	قطع اندام کردن	shān chú
消遣	سرگرم کردن؛ تفریح دادن	xiāo qiǎn
娱乐	سرگرم کردن؛ تفریح دادن	yú lè
兴味	تفریح؛ لهو	xìng wèi
有趣的	سرگرم کننده	yǒu qù de
引人发笑的	سرگرم کننده	yǐn rén fā xiào de
厌氧的	ناهوازی	yàn yǎng de
麻木	داروی بیهوشی	má mù
麻醉	داروی بیهوشی	má zuì
肛门的	کونی؛ مقعدی	gāng mén de
肛门附近的	کونی؛ مقعدی	gāng mén fù jìn de
类似的	قابل قیاس	lèi sì de
相似	قیاس	xiāng sì
类似	قیاس	lèi sì
分析	حل؛ تجزیه	fēn xī
分析者	تحلیلگر	fēn xī zhě
精神分析学家	تحلیلگر	jīng shén fēn xī xué jiā
分析的	تحلیلی	fēn xī de
解析的	تحلیلی	jiě xī de
细察	تجزیه کردن؛ تحلیل کردن	xì chá
无政府主义者	آشوب طلب؛ هرج و مآرج طلب	wú zhèng fǔ zhǔ yì zhě
无政府状态	بی قانونی؛ بی نظمی	wú zhèng fǔ zhuàng tài
政治混乱	بی قانونی؛ بی نظمی	zhèng zhì hùn luàn
解剖的	تشریحی	jiě pōu de
解剖学的	تشریحی	jiě pōu xué de
剖析	استخوانبندی؛ کالبد شناسی	pōu xī
解剖学	استخوانبندی؛ کالبد شناسی	jiě pōu xué
祖先	جد	zǔ xiān
祖宗	جد	zǔ zōng
祖先的	نسبی؛ اجدادی	zǔ xiān de
祖传的	نسبی؛ اجدادی	zǔ chuán de
世系	اصل ونسب	shì xì
锚	لنگر	máo
使固定	لنگر	shǐ gù dìng
古代的	باستانی	gǔ dài de
古老的	باستانی	gǔ lǎo de
和	و	hé
与	و	yú
轶事	ضرب المثل؛ قصه کوتاه	yì shì
奇闻	ضرب المثل؛ قصه کوتاه	qí wén
天使	فرشته	tiān shǐ
守护神	فرشته	shǒu hù shén
天使的	ملکی؛ فرشتهی	tiān shǐ de
天使般的	ملکی؛ فرشتهی	tiān shǐ bān de
忿怒	غضب؛ خشم	fèn nù
激怒	غضب؛ خشم	jī nù
角	گوشه؛ زاویه	jué
钓鱼	گوشه؛ زاویه	diào yú
生气的	عصبانی	shēng qì de
愤怒的	عصبانی	fèn nù de
剧痛	تاب و تب	jù tòng
痛苦	تاب و تب	tòng kǔ
有角的	زاویهی؛ گوشه دار	yǒu jué de
消瘦的	زاویهی؛ گوشه دار	xiāo shòu de
动物	حیوان	dòng wù
使有生气	جان دار؛ روح دادن	shǐ yǒu shēng qì
赋予生命	جان دار؛ روح دادن	fù yǔ shēng mìng
活泼	پویانمایی	huó po
生气	پویانمایی	shēng qì
仇恨	کینه؛ دشمنی	chóu hèn
憎恶	کینه؛ دشمنی	zēng è
踝	مچ پا	huái
编年史	اخبار سال؛ وقیع سالیانه	biān nián shǐ
活动年报	اخبار سال؛ وقیع سالیانه	huó dòng nián bào
附属建筑物	ضمیمه کردن؛ ضمیمه سازی	fù shǔ jiàn zhù wù
合并	الحاق؛ ضم	hé bìng
附加	الحاق؛ ضم	fù jiā
消灭	نابود کردن؛ کن فیکون کردن	xiāo miè
周年纪念	سالروز؛ سالگرد	zhōu nián jì niàn
宣布	اعلامداشتن؛ اعلام کردن	xuān bù
声称	اعلامداشتن؛ اعلام کردن	shēng chēng
公告	اعلام؛ آگهی	gōng gào
发表	اعلام؛ آگهی	fā biǎo
使恼怒	رنجاندن؛ آزردن	shǐ nǎo nù
骚扰	رنجاندن؛ آزردن	sāo rǎo
烦恼	رنجش؛ دلخوری	fán nǎo
打扰	رنجش؛ دلخوری	dǎ rǎo
恼人的	رنجاننده؛ سرخوری	nǎo rén de
年刊	سالانه؛ سالیانه	nián kān
年报	سالانه؛ سالیانه	nián bào
一年一次	سالانه	yī nián yī cì
每年	سالانه	měi nián
取消	نسخ؛ ابطال	qǔ xiāo
阳极	آنود؛ قطب مثبت	yáng jí
正极	آنود؛ قطب مثبت	zhèng jí
基督	مسح شدن	jī dū
救世主	مسح شدن	jiù shì zhǔ
无名的	ناشناس	wú míng de
无特色的	ناشناس	wú tè sè de
再一的	دیگری	zài yī de
答案	پاسخ، پاسخ دادن	dá àn
回答	پاسخ، پاسخ دادن	huí dá
有责任的	پاسخ دار؛ جواب دار	yǒu zé rèn de
可回答的	پاسخ دار؛ جواب دار	kě huí dá de
蚂蚁	مورچه	mǎ yǐ
对立	هم آوری؛ اصل مخالف	duì lì
敌对	هم آوری؛ اصل مخالف	dí duì
前情	ماقبل	qián qíng
先行词	ماقبل	xiān xíng cí
无烟煤	آنتراسیت	wú yān méi
炭疽	خراج؛ ینتراکس	tàn jū
反对者	ضد	fǎn duì zhě
反对论者	ضد	fǎn duì lún zhě
抗体	پادتن	kàng tǐ
预期	پیش‌بینی کردن	yù qī
占先	پیش‌بینی کردن	zhàn xiān
预料	پیشدستی	yù liào
抗原	پادزا؛ پادگن	kàng yuán
古董	عتیقه؛ عتیق	gǔ dǒng
古物	عتیقه؛ عتیق	gǔ wù
古老	کهنگی؛ دیرینگی	gǔ lǎo
古代	کهنگی؛ دیرینگی	gǔ dài
抗菌剂	گندزدا؛ ضدعفونی	kàng jūn jì
防腐剂	گندزدا؛ ضدعفونی	fáng fǔ jì
抗毒素	زهردارو؛ پادزهرابه	kàng dú sù
肛门	نشین؛ مقعد	gāng mén
忧虑	اضطراب	yōu lǜ
忧虑的	مشتاق؛ اندیشناک	yōu lǜ de
发愁的	مشتاق؛ اندیشناک	fā chóu de
忧虑地	مشتاقانه	yōu lǜ de
不安地	مشتاقانه	bù ān de
任何的	هر؛ هر، هیچ	rèn hé de
任何人	هر کسی	rèn hé rén
重要人物	هر کسی	zhòng yào rén wù
无论如何	درهرصورت؛ بهرشکل	wú lùn rú hé
至少	درهرصورت؛ بهرشکل	zhì shǎo
再	دیگر	zài
任何事	هر چیزی	rèn hé shì
无论何处	هر جا	wú lùn hé chù
主动脉	آورتا	zhǔ dòng mài
快速地	باسرعت زیاد	kuài sù de
成零碎	جدا؛ مجزا	chéng líng suì
成距离	جدا؛ مجزا	chéng jù lí
房间	آپارتمان	fáng jiān
公寓	آپارتمان	gōng yù
缺乏感情的	بی احساس	quē fá gǎn qíng de
无动于衷的	بی احساس	wú dòng yú zhōng de
无尾猿	میمون؛ بوزینه	wú wěi yuán
应用程序评价	میمون؛ بوزینه	yìng yòng chéng xù píng jià
顶	ذروه	dǐng
尖端	ذروه	jiān duān
道歉	معذرت خواستن؛ پوزش خواستن	dào qiàn
辩解	معذرت خواستن؛ پوزش خواستن	biàn jiě
辩护	عذرخواهی	biàn hù
中风	سکته ناقص	zhòng fēng
卒中	سکته ناقص	cù zhòng
使徒	فرستاده؛ حواری	shǐ tú
应用程序	اپلیکیشن	yìng yòng chéng xù
装置	دستگاه	zhuāng zhì
器具	دستگاه	qì jù
清晰可见的	پیدا؛ نمودار	qīng xī kě jiàn de
显然的	پیدا؛ نمودار	xiǎn rán de
表面上	ظاهرا؛ نظرا	biǎo miàn shǎng
清楚地	ظاهرا؛ نظرا	qīng chu de
恳求	فرجام؛ جذابیت	kěn qiú
诉请	فرجام؛ جذابیت	sù qǐng
有感染力的	جذاب	yǒu gǎn rǎn lì de
动人的	جذاب	dòng rén de
出现	ظاهر شدن	chū xiàn
显得	ظاهر شدن	xiǎn de
露面	ظاهر	lòu miàn
抚慰	دلنوازی کردن؛ دلجوئی کردن	fǔ wèi
缓解	دلنوازی کردن؛ دلجوئی کردن	huǎn jiě
使平息	دلجویانه	shǐ píng xī
使满足	دلجویانه	shǐ mǎn zú
名称	وجه تسمیه	míng chēng
称号	وجه تسمیه	chēng hào
依附的人	مضافات	yī fù de rén
阑尾炎	آپاندیس	lán wěi yán
附录	ضمیمه؛ آپاندیس	fù lù
食欲	اشتها	shí yù
欲望	اشتها	yù wàng
开胃的	خوش خوراک؛ اشتها آور	kāi wèi de
促进食欲的	خوش خوراک؛ اشتها آور	cù jìn shí yù de
拍手喝彩	تشویق کردن	pāi shǒu hè cǎi
鼓掌	تمجید؛ هلهله	gǔ zhǎng
喝彩	تمجید؛ هلهله	hè cǎi
苹果	سیب	píng guǒ
家伙	سیب	jiā huo
器械	اسباب	qì xiè
用具	اسباب	yòng jù
合适的	قابل اجرا	hé shì de
可应用的	قابل اجرا	kě yìng yòng de
申请者	متقاضی	shēn qǐng zhě
申请人	متقاضی	shēn qǐng rén
应用	استعمال؛ درخواست	yìng yòng
申请	استعمال؛ درخواست	shēn qǐng
涂	درخواست کردن، اعمال کردن	tú
任命	منصوب کردن	rèn mìng
下令	منصوب کردن	xià lìng
约会	تعیین؛ انتصاب	yuē huì
委任的职位	تعیین؛ انتصاب	wěi rèn de zhí wèi
评价	تقویم؛ تخمین	píng jià
估价	تقویم؛ تخمین	gū jià
可感知的	قابل تقدیر؛ قابل ارزیابی	kě gǎn zhī de
可评估的	قابل تقدیر؛ قابل ارزیابی	kě píng gū de
赏识	تقدیر کردن؛ تشکر کردن	shǎng shí
鉴别	تقدیر کردن؛ تشکر کردن	jiàn bié
感激	قدردانی	gǎn jī
理解	تشویش خاطر	lǐ jiě
忧惧	تشویش خاطر	yōu jù
惴惴不安的	مستشعر؛ درک کننده	zhuì zhuì bù ān de
敏悟的	مستشعر؛ درک کننده	mǐn wù de
学徒	شاگرد	xué tú
生手	شاگرد	shēng shǒu
学徒身分	شاگردی؛ تلمذ	xué tú shēn fèn
见习	شاگردی؛ تلمذ	jiàn xí
接近	مراجعهکردن؛ نزدیک شدن	jiē jìn
入门	مراجعهکردن؛ نزدیک شدن	rù mén
拨出	مناسب؛ مقتضی	bō chū
恰如其分的	به طور مناسب	qià rú qí fèn de
批准	موافقت؛ امضاء	pī zhǔn
赞同	امضاکردن؛ پسند کردن	zàn tóng
核准	امضاکردن؛ پسند کردن	hé zhǔn
大约的	تقریبی؛ تخمینی	dà yuē de
接近的	تقریبی؛ تخمینی	jiē jìn de
大致	تقریبا؛ تخمیناً	dà zhì
近似值	تقریب	jìn sì zhí
四月	آوریل	sì yuè
围裙	خرند؛ پیش بند	wéi qún
资质	ذوق؛ گنجیش	zī zhì
才能	ذوق؛ گنجیش	cái néng
水族馆	آکواریوم؛ آبزیگاه	shuǐ zú guǎn
养鱼池	آکواریوم؛ آبزیگاه	yǎng yú chí
阿拉伯人	عربی؛ عرب	ā lā bó rén
阿拉伯马	عربی؛ عرب	ā lā bó mǎ
阿拉伯语	عربی؛ زبان عربی	ā lā bó yǔ
阿拉伯人的	عربی؛ زبان عربی	ā lā bó rén de
适于耕种的	مزروعی؛ قابل زرع	kuò yú gēng zhòng de
可耕的	مزروعی؛ قابل زرع	kě gēng de
任意地	به‌طور قراردادی	rèn yì de
武断地	به‌طور قراردادی	wǔ duàn de
任意的	خودسرانه	rèn yì de
武断的	خودسرانه	wǔ duàn de
仲裁	داوری؛ حکمیت	zhòng cái
公断	داوری؛ حکمیت	gōng duàn
弧	کمان	hú
弓形	کمان	gōng xíng
拱廊	تیمچه	gǒng láng
拱形建筑物	تیمچه	gǒng xíng jiàn zhù wù
拱门	طاق؛ تاق	gǒng mén
拱形	طاق؛ تاق	gǒng xíng
考古学的	باستانشناسی	kǎo gǔ xué de
考古学上的	باستانشناسی	kǎo gǔ xué shǎng de
大主教	سر اسقف؛ اسقف بزرگ	dà zhǔ jiào
弓形结构的	طاقدار	gōng xíng jié gòu de
拱形的	طاقدار	gǒng xíng de
群岛	مجمع الجزیر؛ دریی پر جزیره	qún dǎo
多岛屿的海	مجمع الجزیر؛ دریی پر جزیره	duō dǎo yǔ de hǎi
建筑师	معمار	jiàn zhù shī
设计者	معمار	shè jì zhě
有关建筑的	معماری	yǒu guān jiàn zhù de
建筑学的	معماری	jiàn zhù xué de
建筑学	معماری	jiàn zhù xué
建筑式样	معماری	jiàn zhù shì yàng
把存档	آرشیو	bǎ cún dàng
档案馆	آرشیو	dàng àn guǎn
拱道	گذر سرپوشیده؛ دروازه طاقدار	gǒng dào
北极的	شمالی؛ قطبی	běi jí de
极寒的	شمالی؛ قطبی	jí hán de
费力的	پر زحمت؛ صعب الصعود	fèi lì de
努力的	پر زحمت؛ صعب الصعود	nǔ lì de
区域	منطقه	qū yù
面积	منطقه	miàn jī
角斗场	عرصه	jué dòu chǎng
舞台	عرصه	wǔ tái
可论证地	مسلماً	kě lùn zhèng de
可争辩地	مسلماً	kě zhēng biàn de
提出理由	بحث کردن	tí chū lǐ yóu
论证	بحث	lùn zhèng
好辩的	جدلی؛ استدلالی	hào biàn de
引起争论的	جدلی؛ استدلالی	yǐn qǐ zhēng lùn de
干燥的	خشک؛ لم یزرع	gān zào de
不毛的	خشک؛ لم یزرع	bù máo de
站立	بروز کردن	zhàn lì
贵族	نجبا؛ اشرافیت	guì zú
上层社会	نجبا؛ اشرافیت	shàng céng shè huì
贵族的	اشرافی؛ اعیانی	guì zú de
主张贵族统绐的	اشرافی؛ اعیانی	zhǔ zhāng guì zú tǒng dài de
阿肯色州	آرکانزاس	ā kěn sè zhōu
手臂	بازو؛ مسلح کردن	shǒu bì
袖子	بازو؛ مسلح کردن	xiù zi
军备	تسلیحات	jūn bèi
武器装备	تسلیحات	wǔ qì zhuāng bèi
扶手椅	صندلی دسته دار	fú shǒu yǐ
亚美尼亚的	ارمنی؛ زبان ارمنی	yà měi ní yà de
亚美尼亚人的	ارمنی؛ زبان ارمنی	yà měi ní yà rén de
亚美尼亚人	ارامنه	yà měi ní yà rén
战斗准备	تسلیح	zhàn dòu zhǔn bèi
装弹	تسلیح	zhuāng dàn
休战	متارکه جنگ؛ صلح موقت	xiū zhàn
停战	متارکه جنگ؛ صلح موقت	tíng zhàn
盔甲	جوشن	kuī jiǎ
潜水服	جوشن	qián shuǐ fú
纹章	زراد خانه	wén zhāng
军械库	زراد خانه	jūn xiè kù
腋窝	بغل؛ زیر بغل	yè wō
军队	ارتش	jūn duì
陆军	ارتش	lù jūn
芬芳的	خوشبو؛ گیاه خوشبو	fēn fāng de
芳香的	خوشبو؛ گیاه خوشبو	fāng xiāng de
包围	اطراف، حدود	bāo wéi
振奋人心的	تحریص؛ شهوت آمیز	zhèn fèn rén xīn de
安排	ترتیب دادن	ān pái
整齐	ترتیب	zhěng qí
衣服	آرایه	yī fu
逾期债款	پس افت	yú qī zhài kuǎn
欠帐	پس افت	qiàn zhàng
逮捕	جلب؛ توقیف	dài bǔ
监禁	جلب؛ توقیف	jiān jìn
抵达	مقدم؛ وصول	dǐ dá
傲慢态度	تکبر؛ نخوت	ào màn tài du
自大	تکبر؛ نخوت	zì dà
自大的	خودکامه؛ مغرور	zì dà de
傲慢的	خودکامه؛ مغرور	ào màn de
箭	پیکان	jiàn
兵工厂	زرادخانه؛ مهمات جنگی	bīng gōng chǎng
艺术	هنر	yì shù
人文科学	هنر	rén wén kē xué
动脉的	شریانی	dòng mài de
脉络状的	شریانی	mài luò zhuàng de
动脉	سرخرگ؛ شریان	dòng mài
干道	سرخرگ؛ شریان	gàn dào
巧妙的	نیرنگ باز	qiǎo miào de
狡猾的	نیرنگ باز	jiǎo huá de
文章	مقاله	wén zhāng
冠词	مقاله	guàn cí
关节的	مفصلی	guān jié de
发音清晰的	بیان کردن	fā yīn qīng xī de
口才好的	بیان کردن	kǒu cái hǎo de
关节	مفصل بندی؛ طرز گفتار	guān jié
接合	مفصل بندی؛ طرز گفتار	jiē hé
人造的	مصنوعی؛ ساختگی	rén zào de
假的	مصنوعی؛ ساختگی	jiǎ de
火炮	توپ؛ توپخانه	huǒ pào
炮兵	توپ؛ توپخانه	pào bīng
艺术家	هنرمند	yì shù jiā
画家	هنرمند	huà jiā
艺术的	هنری؛ هنرمندانه	yì shù de
艺术家的	هنری؛ هنرمندانه	yì shù jiā de
插图	اثر هنری	chā tú
艺术作品	اثر هنری	yì shù zuò pǐn
作为	به عنوان، همانطور که؛ همانطور که	zuò wéi
像	به عنوان، همانطور که؛ همانطور که	xiàng
上升	فرازیدن؛ فرازروی	shàng shēng
追溯	فرازیدن؛ فرازروی	zhuī sù
确定	محقق نمودن؛ محقق دانستن	què dìng
查明	محقق نمودن؛ محقق دانستن	chá míng
苦行者	زاهد؛ زاهدانه	kǔ xíng zhě
禁欲者	زاهد؛ زاهدانه	jìn yù zhě
随意取得的	منسوب	suí yì qǔ dé de
把归于	منسوب	bǎ guī yú
灰	خاکستر	huī
惭愧的	شرمنده؛ خجل	cán kuì de
羞耻的	شرمنده؛ خجل	xiū chǐ de
由灰烬构成的	خاکستری؛ شبیه خاکستر	yóu huī jìn gòu chéng de
灰色的	خاکستری؛ شبیه خاکستر	huī sè de
向岸	بکنار؛ درساحل	xiàng àn
在岸上	بکنار؛ درساحل	zài àn shàng
亚洲	آسیا	yà zhōu
小声说的话	کنار	xiǎo shēng shuì de huà
旁白	کنار	páng bái
问	پرسیدن، درخواست کردن	wèn
要求	پرسیدن، درخواست کردن	yāo qiú
睡着的	خوابیده	shuì zháo de
长眠的	خوابیده	cháng mián de
芦笋	مارچوبه؛ شودی	lú sǔn
天冬	مارچوبه؛ شودی	tiān dōng
外观	منظر؛ منظره	wài guān
方面	منظر؛ منظره	fāng miàn
诽谤	هتک	fěi bàng
中伤	هتک	zhòng shāng
热望	آرزو	rè wàng
渴望	آرزو کردن	kě wàng
立志于	آرزو کردن	lì zhì yú
阿斯匹林	آسپیرین	ā sī pǐ lín
乙酰水杨酸	آسپیرین	yǐ xiān shuǐ yáng suān
驴	الاغ؛ ماتحت	lǘ
傻瓜	الاغ؛ ماتحت	shǎ guā
攻击者	ضارب	gōng jī zhě
行凶者	ضارب	xíng xiōng zhě
暗杀者	قاتل؛ آدمکش	àn shā zhě
刺客	قاتل؛ آدمکش	cì kè
暗杀	ترور	àn shā
行刺	ترور	xíng cì
攻击	حمله	gōng jī
袭击	حمله	xí jī
集合	جمع‌آوری کردن	jí hé
收集	جمع‌آوری کردن	shōu jí
与会者	مونتاژ، مجلس	yù huì zhě
集会	مونتاژ، مجلس	jí huì
坚称	ادعا کردن	jiān chēng
评估	ارزیابی؛ اظهارنظر	píng gū
估定	ارزیابی؛ اظهارنظر	gū dìng
