एक	یک (حرف تعریف نامعین)	ek
महत्वाकांक्षी	نامجو؛ بلند همت	mahatvaakaankshii
उच्चाकांक्षी	نامجو؛ بلند همت	uchchaakaankshii
ऐम्बुलेंस	آمبولانس	aimbulens
अस्पताल गाड़ी	آمبولانس	aspataal gaarii
घात	کمین؛ کمینگاه	ghaat
ताक	کمین؛ کمینگاه	taak
आमीन	آمین	aamiin / tathaastu / aisaa hii ho
तथास्तु/ऐसा ही हो	آمین	aamiin / tathaastu / aisaa hii ho
सुधारना	اصلاح کردن	sudhaaranaa
संशोधन करना	اصلاح کردن	sanshodhan karanaa
संशोधन	اصلاحیه	sanshodhan
अमरीका	آمریکا	amariikaa
अमरीकी	آمریکایی	amariikii
अमरीका वासी	آمریکایی	amariikaa vaasii
जंबुमणि	در بنفش؛ در کوهی بنفش	janbumani
जामुनी मणी	در بنفش؛ در کوهی بنفش	jaamunii manii
बीच में ही	در میان	biich men hii
के बीच	در میان	ke biich
अमोनिया	آمونیاک	amoniyaa
रंग रहित तीव्र गंध वाली गैस.	آمونیاک	rang rahit tiivr gandh vaalii gais.
राजक्षमा	عفو؛ عفو عمومی کردن	raajakshamaa
सर्वक्षमा	عفو؛ عفو عمومی کردن	sarvakshamaa
में/मध्य में	در میان	men / madhy men / men
में	در میان	men / madhy men / men
कामुक	عاشقانه	kaamuk
कामी{रसिक}	عاشقانه	kaamii{rasik}
मात्रा	مقدار	maatraa
राशि	مقدار	raashi
काटना	قطع اندام کردن	kaatanaa
अंगभंग	قطع اندام کردن	angabhang
मनोरंजन करना	سرگرم کردن؛ تفریح دادن	manoranjan karanaa
मन बहलाना	سرگرم کردن؛ تفریح دادن	man bahalaanaa
आनंद	تفریح؛ لهو	aanand
आनन्द	تفریح؛ لهو	aanand
विनोदी/मनोरंजक	سرگرم کننده	vinodii / manoranjak / manoranjak
मनोरंजक	سرگرم کننده	vinodii / manoranjak / manoranjak
वातनिरपेक्ष	ناهوازی	vaatanirapeksh
वात निरपेक्ष जीवाणु	ناهوازی	vaat nirapeksh jiivaanu
असंवेदनता	داروی بیهوشی	asanvedanataa / chetanaashuunyataa / behonshii
चेतनाशून्यता/बेहोंशी	داروی بیهوشی	asanvedanataa / chetanaashuunyataa / behonshii
गुदा	کونی؛ مقعدی	gudaa
गुदा सम्बन्धी	کونی؛ مقعدی	gudaa sambandhii
समानता	قیاس	samaanataa
समीक्षा	حل؛ تجزیه	samiikshaa
विश्लेषण	حل؛ تجزیه	vishleshan
मनोविश्लेषक	تحلیلگر	manovishleshak
विश्लेषक	تحلیلگر	vishleshak
विश्लेषी	تحلیلی	vishleshii
मनोविश्लेषण करना	تجزیه کردن؛ تحلیل کردن	manovishleshan karanaa
अराजकतावादी	آشوب طلب؛ هرج و مآرج طلب	araajakataavaadii
अव्यवस्था	بی قانونی؛ بی نظمی	avyavasthaa
अराजकता	بی قانونی؛ بی نظمی	araajakataa
शारीरिक/संरचनात्मक	تشریحی	shaariirik / sanrachanaatmak / shaariirik
शारीरिक	تشریحی	shaariirik / sanrachanaatmak / shaariirik
चीरफाड़	استخوانبندی؛ کالبد شناسی	chiiraphaar
शरीर रचना विज्ञान	استخوانبندی؛ کالبد شناسی	shariir rachanaa vigyaan
रूप	جد	ruup
पूर्वज	جد	puurvaj
पैतृक	نسبی؛ اجدادی	paitrik / paitrik / bapautii
पैतृक/बपौती	نسبی؛ اجدادی	paitrik / paitrik / bapautii
वंश	اصل ونسب	vansh
वंश परंपरा	اصل ونسب	vansh paranparaa
लंगर	لنگر	langar
आसरा	لنگر	aasaraa
पुराना	باستانی	puraanaa
प्राचीन	باستانی	praachiin
तथा	و	tathaa
किस्सा	ضرب المثل؛ قصه کوتاه	kissaa
दंतकथा	ضرب المثل؛ قصه کوتاه	dantakathaa
सुन्दर	فرشته	sundar
देवदूत	فرشته	devaduut
दिव्य	ملکی؛ فرشتهی	divy
देवदूत के समान	ملکی؛ فرشتهی	devaduut ke samaan
गुस्सा	غضب؛ خشم	gussaa
दृष्टिकोण	گوشه؛ زاویه	drishtikon
कोण	گوشه؛ زاویه	kon
प्रचण्ड	عصبانی	prachand
मनोव्यथा	تاب و تب	manovyathaa
नुकीला	زاویهی؛ گوشه دار	nukiilaa
जंगली	حیوان	jangalii
प्राणी	حیوان	praanii
सजीव	جان دار؛ روح دادن	sajiiv
जान डाल देना	جان دار؛ روح دادن	jaan daal denaa
जीवंतता	پویانمایی	jiivantataa
सजीवता	پویانمایی	sajiivataa
वैरभाव	کینه؛ دشمنی	vairabhaav
द्वेष	کینه؛ دشمنی	dvesh
टखना	مچ پا	takhanaa
इतिहास	اخبار سال؛ وقیع سالیانه	itihaas
वर्ष वृतान्त	اخبار سال؛ وقیع سالیانه	varsh vritaant
उपभवन	ضمیمه کردن؛ ضمیمه سازی	upabhavan
मिला लेना	ضمیمه کردن؛ ضمیمه سازی	milaa lenaa
समामेलन	الحاق؛ ضم	samaamelan
कब्जे में करना	الحاق؛ ضم	kabje men karanaa
जड़ से मिटाना	نابود کردن؛ کن فیکون کردن	jar se mitaanaa
सालगिरह	سالروز؛ سالگرد	saalagirah
वर्षगाँठ	سالروز؛ سالگرد	varshagaanth
घोषित करना	اعلامداشتن؛ اعلام کردن	ghoshit karanaa
घोषणा करना	اعلامداشتن؛ اعلام کردن	ghoshanaa karanaa
घोषणा	اعلام؛ آگهی	ghoshanaa
चिढाना	رنجاندن؛ آزردن	chidhaanaa
खीजाना	رنجاندن؛ آزردن	khiijaanaa
मुसीबत	رنجش؛ دلخوری	musiibat
खिझाऊ	رنجاننده؛ سرخوری	khijhaauu
खीझ दिलाने वाला	رنجاننده؛ سرخوری	khiijh dilaane vaalaa
वार्षिक	سالانه؛ سالیانه	vaarshik
सालाना	سالانه؛ سالیانه	saalaanaa
प्रति वर्ष	سالانه	prati varsh
निरसन	نسخ؛ ابطال	nirasan
अमान्यकरण	نسخ؛ ابطال	amaanyakaran
धनाग्र	آنود؛ قطب مثبت	dhanaagr
धर्मापित करना	مسح شدن	dharmaapit karanaa
तेलाभिषेक करना	مسح شدن	telaabhishek karanaa
गुमनाम	ناشناس	gumanaam
भिन्न	دیگری	bhinn
उत्तर	پاسخ، پاسخ دادن	uttar
जवाब देना	پاسخ، پاسخ دادن	javaab denaa
उत्तर के योग्य	پاسخ دار؛ جواب دار	uttar ke yogy
चींटी	مورچه	chiintii
विरोध	هم آوری؛ اصل مخالف	virodh
वैर भाव	هم آوری؛ اصل مخالف	vair bhaav
पूर्ववर्ती	ماقبل	puurvavartii
कोयला	آنتراسیت	koyalaa
पत्थर का कोयला	آنتراسیت	patthar kaa koyalaa
बिसहरिया	خراج؛ ینتراکس	bisahariyaa
गिलटी रोग	خراج؛ ینتراکس	gilatii rog
विरोधी/प्रतिरोध	ضد	virodhii / pratirodh / ke virodhii
के विरोधी	ضد	virodhii / pratirodh / ke virodhii
रोगप्रतिकारक.	پادتن	rogapratikaarak.
रोग प्रतिकारक	پادتن	rog pratikaarak
उम्मीद करना	پیش‌بینی کردن	ummiid karanaa
पुर्वानुमान	پیشدستی	purvaanumaan
पहले से ही	پیشدستی	pahale se hii
प्रतिजन	پادزا؛ پادگن	pratijan
ऐन्टिजिन	پادزا؛ پادگن	aintijin
पुराना/पुरातन	عتیقه؛ عتیق	praachiin / puraanaa / puraatan
पुरातनता	کهنگی؛ دیرینگی	puraatanataa
पुरावस्तु	کهنگی؛ دیرینگی	puraavastu
क्षय निरोधक	گندزدا؛ ضدعفونی	kshay nirodhak
रोगाणुरोधक	گندزدا؛ ضدعفونی	rogaanurodhak
प्रतिविष	زهردارو؛ پادزهرابه	prativish
गुदा/मलदार.	نشین؛ مقعد	gudaa / gudaa / maladaar.
चिंता	اضطراب	chintaa
उत्सुकता	اضطراب	utsukataa
उत्सुक	مشتاق؛ اندیشناک	utsuk
चिन्तित	مشتاق؛ اندیشناک	chintit
उदवेग से	مشتاقانه	udaveg se
चिंतित होकर	مشتاقانه	chintit hokar
कुछ	هر؛ هر، هیچ	kuchh
थोड़ा	هر؛ هر، هیچ	thoraa
कोई	هر کسی	koii
कोई व्यक्ति	هر کسی	koii vyakti
फिर भी	درهرصورت؛ بهرشکل	phir bhii
अब	دیگر	ab
इसके बाद	دیگر	isake baad
कोई भी	هر کسی	koii bhii
किसी को	هر کسی	kisii ko
कुछ भी	هر چیزی	kuchh bhii
कहीं	هر جا	kahiin
कहीं भी	هر جا	kahiin bhii
महाधमनीई	آورتا	mahaadhamanii
बायीं धमनी	آورتا	baayiin dhamanii
तेज़ी से	باسرعت زیاد	tezii se
शीघ्रता से	باسرعت زیاد	shiighrataa se
अलग	جدا؛ مجزا	alag
दूर	جدا؛ مجزا	duur
कमरा	آپارتمان	kamaraa
कमरे	آپارتمان	kamare
उदासीन	بی احساس	udaasiin
वानर	میمون؛ بوزینه	vaanar
बन्दर की जात का जानवर	میمون؛ بوزینه	bandar kii jaat kaa jaanavar
शिखर	ذروه	shikhar
शिरोबिन्दु	ذروه	shirobindu
क्षमा मांगना	معذرت خواستن؛ پوزش خواستن	kshamaa maanganaa
स्पष्टीकरण	عذرخواهی	spashtiikaran
क्षमा	عذرخواهی	kshamaa
रक्ताघात	سکته ناقص	raktaaghaat
मूर्छा की बीमारी	سکته ناقص	muurchhaa kii biimaarii
प्रचारक	فرستاده؛ حواری	prachaarak
धर्मदूत	فرستاده؛ حواری	dharmaduut
आधुनिक संगणक एप्लीकेशन	اپلیکیشن	aadhunik sanganak epliikeshan
सामान	دستگاه	saamaan
उपकरण	دستگاه	upakaran
स्पष्ट	پیدا؛ نمودار	spasht
साफ	پیدا؛ نمودار	saaph
बिल्कुल	ظاهرا؛ نظرا	bilkul
स्पष्ट रूप से	ظاهرا؛ نظرا	spasht ruup se
आकर्षण	فرجام؛ جذابیت	aakarshan
पुनरावेदन	فرجام؛ جذابیت	punaraavedan
आकर्षक	جذاب	aakarshak
जनप्रिय	جذاب	janapriy
दिखाई देना	ظاهر شدن	dikhaaii denaa
उपस्थिति	ظاهر	upasthiti
पेशी	ظاهر	peshii
शांत करना	دلنوازی کردن؛ دلجوئی کردن	shaant karanaa
संतुष्ट करना	دلنوازی کردن؛ دلجوئی کردن	santusht karanaa
शांत करने वाला	دلجویانه	shaant karane vaalaa
उपाधि	وجه تسمیه	upaadhi / padavii / naam / upaadhi
पदवी/नाम/उपाधि	وجه تسمیه	upaadhi / padavii / naam / upaadhi
उपांग्	مضافات	upaang / jorii huii vastu / upaang
जोड़ी हुई वस्तु/उपांग	مضافات	upaang / jorii huii vastu / upaang
उण्डुपुच्छशोथ	آپاندیس	undupuchchhashoth
परिशिष्ट	ضمیمه؛ آپاندیس	parishisht
उण्डुक	ضمیمه؛ آپاندیس	unduk
रुचि	اشتها	ruchi
स्वादिष्ट	خوش خوراک؛ اشتها آور	svaadisht
भूखवर्धक	خوش خوراک؛ اشتها آور	bhuukhavardhak
सराहना	تشویق کردن	saraahanaa
वाहवाही	تمجید؛ هلهله	vaahavaahii
हर्षध्वनि	تمجید؛ هلهله	harshadhvani
सेब	سیب	seb
सेवफल	سیب	sevaphal
लागू	قابل اجرا	laaguu
प्रयोग	متقاضی	prayog
आवेदक	متقاضی	aavedak
संबंध	استعمال؛ درخواست	sanbandh
परिश्रम	استعمال؛ درخواست	parishram
लागू करना	درخواست کردن، اعمال کردن	laaguu karanaa
आवेदन करना	درخواست کردن، اعمال کردن	aavedan karanaa
बनाना	منصوب کردن	banaanaa
