babel	طرح خیالی؛ بنای شگرف	babel
baboon	عنتر	babun
baby	نوزاد، کودک	beybi
bachelor	عزب؛ مجرد	bachaler / bachler
bacillus	باسیل	basilas
back	پشت، عقب؛ پشتی، عقب	bak
backdrop	صحنه پشت	bakdraap
backgammon	مهره؛ نرد	bakgaman
background	سابقه، پس زمینه	bakgraund
backing	حمایت	baking
backup	پشتیبان	bakap
backward	بدون ترقی	bakwerd
backwards	ازپشت؛ عقب مانده	bakwerdz
backwater	باریکه آب	bakwoter
backwoods	جنگلهای دورافتاده	bakwudz
bacteria	باکتری‌ها	baktiria
bacterial	باکتریائی	baktiriel
bacteriology	باکتری شناسی	baktiriaalaji
bad	بد	bad
badge	نشان	baj
badly	بد	badli
bag	کیف	bag
baggage	بارسفر	bagaj / bagij
bagging	پارچه کیسهای	baging
baggy	کیسه ای متورم	bagi
bail	وثیقه	beyl
bailiff	ضابط	beylaf / beylif
bait	طعمه؛ طعمه دادن	beyt
bake	پختن؛ طبخ کردن	beyk
baker	شاطر؛ نانوا	beyker
baking	طبخ	beyking
balance	مانده؛ تراز	balans
balanced	متعادل	balanst
balcony	خروجی؛ بالکن	balkani
bald	کل؛ طاس	bold
baleful	غم انگیز؛ مصیبت بار	beylfel
balk	زیرش زدن؛ مایه لغزش	bok / baalk
ball	توپ	bol
ballad	شعر افسانه ای	balad
ballet	باله	baley
balloon	بادکنک	balun
ballot	برگه رای	balat
balsam	بلسان	bolsam
baltic	بالتیک	boltik
bamboo	خیزران؛ بامبو	bambu
ban	نهی؛ منع کردن	ban
banana	موز	banana
band	گروه (موسیقی)	band
bandage	تنزیب؛ پانسمان	bandij
bandit	سارق؛ راهزن	bandat
bandolier	قطار فشنگ	bandalir
bane	جانی؛ مخرب زندگی	beyn
bang	چتر زلف	bang
banish	دور کردن؛ نفی بلد کردن	banish
banishment	نفی؛ تبعید	banishmant
bank	بانک (پول)	bangk
banker	صراف؛ بانک دار	bangker
banking	بانکی؛ صرافی	bangking
bankrupt	ورشکست	bangkrapt
bankruptcy	اعسار؛ افلاس	bangkrapsi / bangkraptsi
banner	بنر	baner
banquet	مهمانی؛ سور	bangkwat
banter	شوخی کنایه دار	banter
baptism	تعمید؛ غسل	baptizam
baptismal	تعمیدی	baptizmel
bar	میخانه، میله	baar
barbarian	بی تمدن	baarberian
barbaric	بربری	baarbarik / baarberik
barbarism	وحشیگری	baarberizam
barbarity	بی رحمی؛ قساوت قلب	baarbariti / baarberiti
barbarous	غیر مصطلح	baarberas
barbed	خاردار	baarbd
barber	آرایشگر؛ سلمانی	baarber
bare	لخت	ber
barefoot	پابرهنه	berfut
barely	به سختی	berli
bargain	معامله	baargan / baargin
bargaining	چانه زنی	baargining
barge	دوبه؛ سرزده وارد شدن	baarj
bark	عوعو؛ عوعو کردن	baark
barley	علیق؛ جوین	baarli
barn	طویله؛ کاهدان	baarn
baron	باروری	baran / beran
baroness	همسر بارون	beranis
barrel	بشکه	barel / berel
barren	عقیم؛ نازا	baran / beran
barrier	مانع	barier / berier
barrow	زنبه؛ خاک کش	baro / bero
barter	پایاپای؛ تهاتر	baarter
base	فرومایه؛ لئیم	beys
baseball	بیسبال	beysbol
based	بر اساس	beyst
baseless	بی پایه؛ بی اساس	beyslas
basement	زیرزمین	beysmant
bashful	محجوبانه؛ شرمرو	bashfel
bashfulness	کمروئی	bashfalnes
basic	اصلی؛ اساسی	beysik
basically	اصلاً؛ اساساً	beysikli
basin	طشت؛ تشتک	beysan
basis	پایه؛ اصل	beysas / beysis
bask	حمام آفتاب گرفتن	bask
basket	سبد	baskat
basketball	بسکتبال	baskatbol
bass	باس	bas / beys
bat	خفاش؛ ضربه زدن (با چوب)	bat
bath	حمام	bath
bathe	شستشو؛ شستشو کردن	beydh
bathing	آبتنی	beydhing
bathroom	حمام	bathrum
batiste	پاتیس	batista
baton	باتون؛ عصای افسران	bataan / batan
battalion	گردان	batalyan
battery	باتری؛ باطری	bateri
battle	نبرد؛ جنگ	batel
battlefield	میدان جنگ	batalfild
battleground	نبردگاه؛ عرصه منازعه	batalgraund
battleship	ناو؛ رزمناو	batalship
bay	خلیج	bey
bayonet	سرنیزه	beyanet
be	بودن	bi
beach	ساحل	bich
beacon	چراق دریایی	bikan
bead	دانه؛ مهره	bid
beading	روکوب	biding
beak	نوک؛ تک	bik
beam	پرتو	bim
bean	لوبیا	bin
bear	خرس	ber
beard	ریش؛ محاسن	bird
bearded	ریشو؛ ریشدار	birdad
bearer	حامل؛ درخت بارور	berer
beast	جانور	bist
beastly	جانوروار	bistli
beat	ضربه زدن، شکست دادن	bit
beaten	زده؛ کوبیده	bitan
beau	جوان شیک	bo
beautiful	زیبا	byutafel
beauty	خوبی؛ جمال	byuti
because	زیرا	bikoz / bikaz
become	شدن	bikam
bed	تختخواب	bed
bedchamber	شبستان	bedcheymber
bedding	رختخواب؛ هوای آزاد	beding
bedridden	بستری	bedridan
bedroom	اتاق خواب	bedrum
bedside	بالین	bedsaid
bedtime	وقت استراحت؛ موقع خوابیدن	bedtaim
bee	زنبور؛ مگس انگبین	bi
beech	آلش	bich
beef	گوشت گاو	bif
beer	آبجو	bir
before	قبل از	bifor
beforehand	پیشاپیش	biforhand
befriend	رفاقت کردن؛ تجیب کردن	bifrend
beg	التماس کردن؛ استدعا کردن	beg
beget	پس انداختن؛ سبب وجود شدن	biget
beggar	گدا؛ فقیر	beger
begin	شروع کردن	bigin
beginning	شروع	bigining
behalf	از طرف	bihaf
behave	رفتار کردن	biheyv
behavior	رفتار؛ اخلاق	biheyvyer
behaviour	رفتار	biheyvyer
beheaded	سربریده	bihedid
behind	پشت سر، عقب	bihaind
behold	هان؛ هین	bihold
beige	بژ	beyzh
belated	دیر شده	bileytid
belgian	بلژیکی	beljan
belgium	بلژیک	beljam
belief	ایمان؛ اعتقاد	bilif
believe	باور داشتن	biliv
believer	معتقد؛ مومن	baliver
bell	ناقوس؛ جرس	bel
belligerent	متحارب	balijerant
belly	شکم؛ بطن	beli
belong	تعلق داشتن	bilong
beloved	محبوب	bilavd / bilavad
below	زیر، پایین	bilo
belt	کمربند	belt
bench	نیمکت	bench
benchmark	معیار	benchmaark
bend	چنبره؛ خمیدگی	bend
beneath	زیر	binith
benediction	رضوان؛ نیایش	benadikshen
benefactor	واقف؛ نیکوکار	benafakter
beneficent	منان؛ منعم	benafishent
beneficial	مفید	benafishel
beneficiary	ذینفع	benafishieri
benefit	فایده	benafit
benevolence	خوشدلی؛ نوع پرستی	banevalans
benevolent	خیر؛ نیکوکار	banevalant
benign	جید	binain
bent	خم؛ متمایل	bent
bequest	وقف نامه	bikwest
berlin	برلین؛ برلن	berlin
berth	پهلو گرفتن؛ اطاق کشتی	berth
beryl	بزادی	berel
beseech	التماس کردن	bisich
beseeching	از و جز	bisiching
beside	کنار	bisaid
besides	علاوه بر این	bisaidz
best	بهترین	best
bestial	دامی؛ شبیه حیوان	beschel
bestow	عطا کردن؛ بذل کردن	bisto
bet	شرط بندی؛ شرط بستن	bet
beta	بتا	beyta
betray	خیانت کردن	bitrey
betrayal	خیانت؛ افشاء سر	bitreyel
better	بهتر	beter
betterment	بهی	betermant
between	بین	bitwin
beverage	شربت؛ نوشابه	beverij / bevrij
beware	هان؛ هلا	biwer
bewildered	گیج؛ سردرگم	biwilderd
bewilderment	گیجی؛ سردرگمی	biwildermant
beyond	فراتر از؛ آن‌سوی	biaand / biond
bias	تعصب	baias
bible	انجیل؛ کتاب مقدس	baibel
bicarbonate	جوش شیرین	baikaarbanat
bicycle	دوچرخه	baisikel
bicycling	دوچرخه سواری	baisikaling / baisikling
bid	پیشنهاد دادن، پیشنهاد	bid
bier	مقبره	bir
bifurcation	شکاف گاه	biferkeyshen / baiferkeyshen
big	بزرگ	big
bike	دوچرخه	baik
bilateral	دوجانبه؛ دوطرفه	bailaterel
bile	صفر؛ زرداب	bail
bilious	صفراوی؛ زرداب ریز	bilias
bill	صورتحساب	bil
billet	یادداشت مختصر؛ ورقه جیره	bilat / bilit
billion	میلیارد	bilyan
billon	بورچاق	bilan
bin	سطل آشغال	bin
binary	دوجزئی؛ دوگانه	baineri
bind	بستن	baind
binder	صحاف؛ شیرازه	bainder
binding	حتیالاجرا؛ تجلید	bainding
biographical	زیستنامهای	baiagrafikel
biography	زندگی‌نامه	baiaagrafi
biological	زیستی	baialaajikel
biology	زیست‌شناسی	baiaalaji
bipolar	دوقطبی	baipoler
birch	توس؛ غان	berch
bird	پرنده	berd
birmingham	بیرمنگام	bermingham
birth	تولد	berth
birthday	تولد	berthdey
birthplace	زادگاه؛ مسقطالراس	berthpleys
birthright	حق ارشدیت	berthrait
biscuit	بیسکویت	biskat
bishop	اسقف	bishap
bit	تکه کوچک	bit
bite	گاز؛ نیش	bait
bitter	تلخ؛ مر	biter
bitterness	تلخی	biternas
bivouac	اتراق؛ اتراق کردن	bivwak
bizarre	عجیب و غریب	bazaar / bizaar
black	سیاه	blak
blacksmith	آهنکر؛ آهنگر	blaksmith
bladder	بادکنک؛ کمیزدان	blader
blade	تیغه	bleyd
bladed	تیغه دار	bleydid
blame	سرزنش؛ ملامت	bleym
blank	خالی	blangk
blanket	پتو	blangkat / blangkit
blast	انفجار، منفجر کردن	blast
blaze	افروختگی؛ شعله زدن	bleyz
bleak	درمعرض بادسرد	blik
bleed	خونریزی کردن	blid
blemishes	معایب	blemishiz
blend	ترکیب کردن	blend
blended	عجین	blendid
bless	برکت دادن	bles
blessedness	مبارکی	blesadnas
blessing	برکت	blesing
blind	کور؛ نابینا	blaind
blindness	کوری؛ نابینائی	blaindnas
blink	سوسو زدن؛ نگاه مختصر	blingk
blinking	طرفه العین	blingking
blister	آبله؛ طاول	blister
bloc	مانع ورادع؛ جعبه قرقره	blaak
block	بلوک؛ مسدود کردن	blaak
blockade	گرفتگی؛ سدراه کردن	blaakeyd
blockhead	بی کله	blaakhed
blog	وبلاگ	blog
blonde	بلوند	blaand
blood	خون	blad
bloodless	بی خون؛ بدون خونریزی	bladlas
bloodshed	خونریزی؛ سفک دماء	bladshed
bloodthirsty	خونریز؛ خونخوار	bladthersti
bloody	خونین؛ خون آلود	bladi
bloom	شکوفه؛ شکفتن	blum
blossom	شکوفه؛ گل دادن	blaasam
blot	لک کردن	blaat
blow	دمیدن؛ ضربه، دمیدن	blo
blue	آبی	blu
bluff	توپ؛ بلف	blaf
bluish	آبی فام	bluish
blunder	خبط کردن؛ اشتباه کار	blander
blunt	کند کردن؛ بی نوک	blant
bluntly	بالصراحه	blantli
bluntness	صراحت	blantnas
blur	تیرگی؛ لک کردن	bler
blush	روژ	blash
boa	مار اژدر؛ اژدر مار	boa
board	تخته، هیئت مدیره	bord
boast	فخر فروختن	bost
boat	قایق	bot
bodily	تنی؛ جسمی	baadali
body	بدن	baadi
bodyguard	مستحفظ شخص؛ گارد مخصوص	baadigaard
bog	سیاه آب؛ لجن زار	baag / bog
boil	جوشاندن	boyl
boiler	دیگ	boyler
boisterous	بلند وناهنجار	boysteras / boystras
bold	پررنگ	bold
boldly	جسارتا؛ جسورانه	boldli
boldness	جرات؛ جسارت	boldnas
bolt	زبانه؛ زبانه دار کردن	bolt
bomb	بمب؛ بمباران کردن	baam / bom
bombard	توپ زدن؛ بتوپ بستن	baambaard
bombardment	بمباران	baambaardmant
bomber	بمب انداز؛ بمب افکن	baamer
bombing	بمباران	baaming
bond	صلح؛ وجه الضمانه	baand
bone	استخوان	bon
bonnet	درپوش؛ کلاه سرگذاشتن	baanat
bonny	قوی وزیبا	baani
bonus	پاداش	bonas
bony	استخوانی؛ اسکلتی	boni
booby	ساده لوح	bubi
book	رزرو کردن؛ کتاب، رزرو کردن	buk
booking	رزرو	buking
bookish	کتابی؛ ملانقطی	bukish
boom	رونق	bum
boon	هم پیاله	bun
boost	افزایش دادن، افزایش	bust
boot	چکمه	but
booth	غرفه؛ جای ویژه	buth
booty	غارت؛ غنیمت	buti
border	کناره؛ مرز	border
bore	مو؛ سرخر	bor
bored	خسته	bord
boredom	خستگی؛ ملالت	bordam
boring	خسته‌کننده	boring
born	متولد شدن	born
borrow	قرض گرفتن	baaro
borrowing	عاریه؛ استقراض	baaroing
bosnia	بوسنی	baaznia
bosom	سینه؛ بغل	buzam
boss	رئیس	baas / bos
boston	بوستون	baastan / bostan
botanist	گیاهشناس	baatanist
botany	گیاهشناسی	baatani
both	هر دو	both
bother	رنجاندن؛ ایذاء	baadher
bottle	بطری	baatel
bottom	پایین، ته	baatam
bough	شانه حیوان	bau
bounce	جهش کردن	bauns
bound	مقید	baund
boundary	مرز	baunderi / baundri
boundless	بیکران؛ نامتناهی	baundlas
bouquet	گلدسته	bukey
bourgeois	طبقه دوم	burzhwaa
bovine	شبیه گاو؛ گاو خوی	bovain
bow	خم شدن، تعظیم	bau / bo
bowels	امعاء	baualz / baulz
bower	آلاچیق	bauer
bowl	کاسه	bol
bowler	قدح ساز؛ مشروب خوارافراطی	boler
box	جعبه	baaks
boxer	مشتباز؛ مشتزن	baakser
boxing	بوکس؛ مشتزنی	baaksing
boy	پسر	boy
boycott	بایکوت؛ تحریم کردن	boykaat
boyfriend	دوست پسر	boyfrend
boyhood	پسری؛ پسر بچگی	boyhud
brace	آکولاد	breys
bracket	دیاق	brakit
brag	لاف؛ بالیدن	brag
braided	بافته	breydid
braiding	نواریاتوری قیطانی	breyding
brain	مغز	breyn
brake	ترمز؛ ترمز کردن	breyk
branch	شاخه؛ شاخ	branch
brand	جور؛ داغ	brand
brass	نحاس؛ افسر ارشد	bras
brassy	برنجی؛ برنج مانند	brasi
brat	ننر؛ کف شیر	brat
brave	رشید؛ راد	breyv
bravely	شجاعانه؛ غازیانه	breyvli
bravery	تهور؛ شهامت	breyveri
bravo	آفرین؛ هورا	braavo
brazier	رویگر؛ آتشدان	breyzier
brazil	برازیلیا؛ برزیل	brazil
breach	نقض کردن، نقض	brich
bread	نان	bred
breadth	وسعت نظر	bredth
break	شکستن، استراحت	breyk
breakdown	خرابی	breykdaun
breakfast	صبحانه	brekfast
breakthrough	پیشرفت	breykthru
breakup	بهم زدن	breykap
breast	سینه؛ پستان	brest
breath	دم؛ نفس	breth
breathe	تنفس کردن؛ استنشاق کردن	bridh
breathing	تنفس؛ ذینفس	bridhing
breathless	بی جان؛ بی نفس	brethlas
breech	ته توپ؛ ته تفنگ	brich
breed	نژاد، پرورش دادن	brid
breeding	تخم کشی؛ تولید مثل	briding
breeze	نسیم؛ بادملایم	briz
breezy	نسیمدار؛ شادی بخش	brizi
brewer	آبجوساز	bruer
brewery	آبجوسازی	brueri
bribe	رشوه؛ رشوه دادن	braib
bribery	رشوه؛ ارتشاء	braiberi
brick	آجر	brik
bridal	متعلق بعروس	braidel
bride	عروس	braid
bridegroom	دامادی	braidgrum
bridge	پل	brij
bridle	افسار؛ عنان	braidel
brief	مختصر؛ کوتاهمدت	brif
briefly	به طور خلاصه	brifli
brigade	تیپ	brageyd / brigeyd
bright	روشن	brait
brighten	زرنگ کردن؛ درخشان کردن	braitan
brightness	فروغ؛ روشنی	braitnas
brilliant	درخشان	brilyant
bring	آوردن	bring
brink	لب؛ شرف	bringk
britain	بریتانیا	britan
british	بریتانیایی؛ انگلیسی	british
brittle	شکننده؛ ترد	britel
broad	گشاد؛ پهن	brod
broadband	پهنای باند	brodband
broadcast	پخش؛ پراکندن	brodkast
broadcaster	پخش کننده	brodkaster
broaden	وسیع کردن	brodan
broadly	به طور گسترده	brodli
brochure	جزوه؛ بروشور	broshur
broken	شکسته	brokan
broker	واسطه؛ دلال	broker
bronchitis	برنشیت؛ آماس نایژه	braangkaitas
bronze	برنز؛ برنزی	braanz
brooch	گل سینه؛ باسنجاق آراستن	bruch / broch
brook	جوی؛ جویبار	bruk
broom	جاروب؛ جارو	brum
brother	برادر	bradher
brotherhood	اخوت؛ برادری	bradherhud
brotherly	برادرانه؛ برادر وار	bradherli
brown	قهوه‌ای	braun
browser	مرورگر	brauzer
bruise	کوفتگی؛ تباره	bruz
bruising	دق	bruzing
brunette	سبزه	brunet
brush	برس، برس زدن	brash
brutal	بیرحمانه	brutel
brutally	بی رحمانه	brutali
brute	جانور خوی؛ کودن یاشهوانی	brut
bubble	حباب؛ غلغل سدن	babel
bubonic	خیارکی	byubaanik
buck	دلار، نر (جانور)	bak
bucket	سطل؛ دول	bakat / bakit
buckle	چپراست؛ سگک	bakel
bud	جوانه؛ شکوفه	bad
buddhist	بودایی	budast
